SectionId,SectionName,DistrictId,DistrictName,AreaId,AreaName,Link
6243294,USTA/CARIBBEAN,6243312,PUERTO RICO,,,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243294&DistrictNodeID=6243312&SubDistrictNodeID=&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243294,USTA/CARIBBEAN,6243313,VIRGIN ISLANDS,,,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243294&DistrictNodeID=6243313&SubDistrictNodeID=&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243295,USTA/EASTERN,6243316,LONG ISLAND REGION,,,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243295&DistrictNodeID=6243316&SubDistrictNodeID=&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243295,USTA/EASTERN,6243315,METROPOLITAN REGION,6243418,Bronx,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243295&DistrictNodeID=6243315&SubDistrictNodeID=6243418&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243295,USTA/EASTERN,6243315,METROPOLITAN REGION,6243417,Brooklyn,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243295&DistrictNodeID=6243315&SubDistrictNodeID=6243417&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243295,USTA/EASTERN,6243315,METROPOLITAN REGION,6243415,Manhattan,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243295&DistrictNodeID=6243315&SubDistrictNodeID=6243415&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243295,USTA/EASTERN,6243315,METROPOLITAN REGION,6243416,Queens,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243295&DistrictNodeID=6243315&SubDistrictNodeID=6243416&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243295,USTA/EASTERN,6243315,METROPOLITAN REGION,6243419,Staten Island,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243295&DistrictNodeID=6243315&SubDistrictNodeID=6243419&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243295,USTA/EASTERN,6243319,NEW JERSEY REGION,6243426,Bergen,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243295&DistrictNodeID=6243319&SubDistrictNodeID=6243426&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
6243295,USTA/EASTERN,6243319,NEW JERSEY REGION,6243431,Hudson,https://tennislink.usta.com/Leagues/reports/NTRP/SearchResults.aspx?Search=TreeNode&update=1&NationalNodeID=6243292&CYear=2025&SectionNodeID=6243295&DistrictNodeID=6243319&SubDistrictNodeID=6243431&DivisionNodeID=&FlightNodeID=&GenderCode=&NTRPRating=
